m/z,Intensity,Relative
451.4518,1273930.6,1.44
452.2781,1980311.6,2.24
452.4552,331663.1,0.38
453.2725,206448.1,0.23
453.2814,371651.3,0.42
453.3009,321107.3,0.36
454.2573,539973.3,0.61
455.2881,319608.8,0.36
460.2704,243063.4,0.28
462.2989,2722193.5,3.08
463.3023,779246.6,0.88
464.3146,2836529,3.21
465.3038,1005465.4,1.14
465.3091,396067.5,0.45
465.3179,686591.9,0.78
465.4677,466549.7,0.53
466.2938,356020.3,0.4
466.3073,360612.4,0.41
467.3247,411445.9,0.47
469.2344,503329.5,0.57
473.2781,363292.4,0.41
473.2825,29326164,33.19
474.2858,8817732,9.98
474.3622,175608.8,0.2
475.2701,1079645.4,1.22
475.2891,936602.6,1.06
476.2736,188155.7,0.21
478.2939,1287208,1.46
479.2972,331268.8,0.37
479.4832,921906.4,1.04
480.3004,308133.8,0.35
480.3095,3046691,3.45
480.4867,298823.3,0.34
481.3039,1429161.1,1.62
481.3128,901558,1.02
481.3299,749444.4,0.85
482.3072,472438.5,0.53
482.3162,901805.7,1.02
482.3333,250369.2,0.28
483.3108,455706.3,0.52
483.3195,2602296.3,2.94
484.3229,967590.9,1.09
485.3263,872837.3,0.99
487.333,361844.3,0.41
488.1217,220426,0.25
489.2773,419559.1,0.47
491.4832,213696.1,0.24
492.3096,434380.4,0.49
493.4989,1740607,1.97
494.3251,293783.7,0.33
494.5021,471225.4,0.53
498.2624,396848,0.45
500.2781,2783701.3,3.15
501.2815,709103.5,0.8
502.2706,234790.1,0.27
502.2851,278935.7,0.32
502.2938,530212,0.6
503.2884,1307612.5,1.48
504.2918,287741.3,0.33
506.3252,756237.2,0.86
507.4896,403392.8,0.46
507.5146,634800.4,0.72
508.3408,864520.8,0.98
509.2885,810610,0.92
509.3353,943853.6,1.07
510.2918,190587.2,0.22
511.3509,435614.2,0.49
512.2991,1355419.8,1.53
513.2946,2106584,2.38
513.3027,268770.8,0.3
514.2981,251926.7,0.29
515.3088,292490.5,0.33
515.3377,576796.9,0.65
520.2681,222547.4,0.25
521.5302,744305.9,0.84
522.2837,1441667.6,1.63
523.287,398225.1,0.45
524.2782,704822.8,0.8
524.2994,3463241.5,3.92
524.3356,211543,0.24
