mz,intensity,rel.intensity,theo.mass,delta,rdb,composition
451.4516814,1273930.6,1.44,451.4520505,0.817657576,1.5,C30 H59 O2
452.2779824,1980311.6,2.24,452.277948,0.075990504,6,C25 H40 O7
452.4550826,331663.1,0.38,,,,
453.2723835,206448.1,0.23,453.273197,1.794539808,6,C24 H39 O7 N
453.2812836,371651.3,0.42,453.2802109,2.366438977,10,C28 H40 O2 N P
453.3007836,321107.3,0.36,453.3010292,0.5417655,9.5,C29 H41 O4
454.2571847,539973.3,0.61,454.2572125,0.061246545,6,C24 H38 O8
455.287986,319608.8,0.36,455.288847,1.891268251,5,C24 H41 O7 N
460.2702919,243063.4,0.28,460.2704573,0.359360552,8.5,C26 H38 O6 N
462.2987943,2722193.5,3.08,462.2986834,0.239879533,7,C27 H42 O6
463.3021955,779246.6,0.88,,,,
464.3144967,2836529,3.21,464.3146446,0.318447474,1.5,C23 H47 O6 N P
465.3036979,1005465.4,1.14,,,,
465.3089979,396067.5,0.45,465.3095825,1.256249696,6,C26 H43 O6 N
465.3177979,686591.9,0.78,,,,
465.4675981,466549.7,0.53,465.4677006,0.220106049,1.5,C31 H61 O2
466.2936991,356020.3,0.4,466.2935981,0.216707295,6,C26 H42 O7
466.3071991,360612.4,0.41,466.3064852,1.530977447,1,C23 H47 O7 P
467.3246003,411445.9,0.47,467.3252325,1.352808441,5,C26 H45 O6 N
469.2343026,503329.5,0.57,,,,
473.2780075,363292.4,0.41,473.2782823,0.580831177,9,C27 H39 O6 N
473.2824075,29326164,33.19,473.2826162,0.441049365,8.5,C28 H42 O4 P
474.2857087,8817732,9.98,474.2861074,0.840680887,8.5,C27 H40 O6 N
474.3621087,175608.8,0.2,474.3632122,2.326285917,6,C30 H51 O2 P
475.2700098,1079645.4,1.22,475.270123,0.238032849,8.5,C27 H39 O7
475.2890099,936602.6,1.06,475.2900241,2.133858608,7.5,C28 H45 O2 P2
476.273511,188155.7,0.21,476.2723859,2.362432518,12.5,C30 H39 O2 N P
478.2938134,1287208,1.46,478.2939092,0.200114447,2.5,C23 H45 O7 N P
479.2971146,331268.8,0.37,479.295861,2.615662947,11,C30 H42 O2 N P
479.4831149,921906.4,1.04,479.4833506,0.491721295,1.5,C32 H63 O2
480.3003158,308133.8,0.35,480.3010059,1.436752586,6,C27 H45 O5 P
480.3094159,3046691,3.45,480.3095592,0.298494833,1.5,C23 H47 O7 N P
480.4866161,298823.3,0.34,,,,
481.303817,1429161.1,1.62,481.3044971,1.412942268,6,C26 H43 O7 N
481.312717,901558,1.02,481.311511,2.505695951,10,C30 H44 O2 N P
481.3298171,749444.4,0.85,481.3299603,0.297598526,0.5,C24 H50 O7 P
482.3071182,472438.5,0.53,482.3064489,1.387785237,14.5,C33 H40 O2 N
482.3161182,901805.7,1.02,482.316656,1.114888843,5,C27 H47 O5 P
482.3332183,250369.2,0.28,482.3334515,0.48353491,0.5,C23 H48 O9 N
483.3107194,455706.3,0.52,483.3115938,1.809215506,9.5,C30 H43 O5
483.3194194,2602296.3,2.94,483.3201472,1.505652069,5,C26 H45 O7 N
484.3228206,967590.9,1.09,484.322099,1.490085559,13.5,C33 H42 O2 N
485.3262218,872837.3,0.99,485.3272439,2.105943793,8.5,C30 H45 O5
487.3329242,361844.3,0.41,,,,
488.1216252,220426,0.25,488.1217948,0.347414226,4,C17 H30 O12 P2
489.2772266,419559.1,0.47,489.2775308,0.621837904,8.5,C28 H42 O5 P
491.4831292,213696.1,0.24,491.4833506,0.450545244,2.5,C33 H63 O2
492.3095302,434380.4,0.49,492.3095592,0.058973239,2.5,C24 H47 O7 N P
493.4988316,1740607,1.97,493.4990007,0.342638388,1.5,C33 H65 O2
494.3250326,293783.7,0.33,494.3248982,0.271906028,6,C28 H46 O7
494.5020328,471225.4,0.53,,,,
498.2623373,396848,0.45,498.2622979,0.079018169,11,C29 H38 O7
500.2780397,2783701.3,3.15,500.277948,0.183329095,10,C29 H40 O7
501.2814409,709103.5,0.8,501.2802109,2.45372999,14,C32 H40 O2 N P
502.2705421,234790.1,0.27,502.2704108,0.261376637,0.5,C21 H46 O8 N P2
502.2850421,278935.7,0.32,502.2853558,0.624630668,9,C29 H43 O5 P
502.2937421,530212,0.6,502.2935981,0.286802822,9,C29 H42 O7
503.2883433,1307612.5,1.48,503.288847,1.000866944,9,C28 H41 O7 N
504.2917445,287741.3,0.33,504.2907988,1.875241205,17.5,C35 H38 O2 N
506.3251469,756237.2,0.86,506.3252093,0.12314773,2.5,C25 H49 O7 N P
507.4895483,403392.8,0.46,,,,
507.5145484,634800.4,0.72,507.5146508,0.201789741,1.5,C34 H67 O2
508.3407493,864520.8,0.98,508.3408593,0.216408324,1.5,C25 H51 O7 N P
509.2884505,810610,0.92,509.2884894,0.076480216,2.5,C24 H46 O9 P
509.3352505,943853.6,1.07,509.3357972,1.073347421,6,C28 H47 O7 N
510.2917517,190587.2,0.22,510.2919806,0.448630641,2.5,C23 H44 O11 N
511.3508529,435614.2,0.49,511.3514473,1.162313608,5,C28 H49 O7 N
512.2990541,1355419.8,1.53,512.2990774,0.045463248,6,C27 H44 O9
513.2945553,2106584,2.38,513.2943263,0.445994148,6,C26 H43 O9 N
513.3026553,268770.8,0.3,513.3013403,2.561847735,10,C30 H44 O4 N P
514.2980565,251926.7,0.29,514.298243,0.362727422,5,C27 H48 O5 P2
515.3087577,292490.5,0.33,515.3087481,0.018520951,9,C30 H47 O2 N P2
515.3376577,576796.9,0.65,515.3378086,0.292814763,8.5,C31 H47 O6
520.2680636,222547.4,0.25,520.2680883,0.047553666,4.5,C24 H43 O9 N P
521.5301651,744305.9,0.84,521.5303008,0.260255194,1.5,C35 H69 O2
522.283666,1441667.6,1.63,522.2837384,0.138616303,3.5,C24 H45 O9 N P
523.2869672,398225.1,0.45,523.2856902,2.440336287,12,C31 H42 O4 N P
524.2781684,704822.8,0.8,524.2782591,0.1730199,7.5,C27 H43 O7 N P
524.2993684,3463241.5,3.92,524.2993885,0.038247783,2.5,C24 H47 O9 N P
524.3355684,211543,0.24,524.3354629,0.201359887,6,C29 H48 O8
525.2936696,694675.8,0.79,525.2930981,1.088034537,11,C31 H45 O2 N P2
525.3026696,1052366.9,1.19,525.3013403,2.530617097,11,C31 H44 O4 N P
525.3305696,205730.8,0.23,525.3307118,0.270692985,6,C28 H47 O8 N
526.2937708,641141.9,0.73,526.2939092,0.262908172,6.5,C27 H45 O7 N P
526.3061708,730083.9,0.83,526.3064852,0.597394,6,C28 H47 O7 P
527.288372,692304.5,0.78,527.288847,0.900932673,11,C30 H41 O7 N
527.309372,2064026.8,2.34,527.3099764,1.14618538,6,C27 H45 O9 N
528.2730732,234444.4,0.27,528.2731737,0.19035104,6.5,C26 H43 O8 N P
528.3094732,705593.9,0.8,528.3095592,0.162827273,5.5,C27 H47 O7 N P
528.3125732,565727.5,0.64,528.3119282,1.220865876,14.5,C34 H42 O4 N
529.3039744,211945,0.24,529.3044971,0.987537832,10,C30 H43 O7 N
529.3163744,660635.4,0.75,529.3170732,1.320104475,9.5,C31 H45 O7
530.3196756,361498.1,0.41,530.3193361,0.640256748,13.5,C34 H45 O2 N P
531.2135767,1046153.4,1.18,531.2129555,1.169336667,2.5,C21 H41 O11 P2
531.3195768,544053.5,0.62,531.3201472,1.073485904,9,C30 H45 O7 N
532.2169779,226052.6,0.26,532.2172763,0.560712819,20,C35 H33 O3 P
534.4891806,868456,0.98,534.4891643,0.030475129,3.5,C34 H64 O3 N
535.4921818,262859.6,0.3,,,,
535.5206818,2885465.3,3.27,,,,
535.5457818,1320664.6,1.49,535.5459509,0.315660481,1.5,C36 H71 O2
536.495883,314631.4,0.36,,,,
536.504783,5851390.5,6.62,536.5048144,0.05846686,2.5,C34 H66 O3 N
536.523983,989674.7,1.12,,,,
536.549283,502620.7,0.57,,,,
537.4884842,255167.5,0.29,537.4888299,0.643316874,2.5,C34 H65 O4
537.5080842,2155841.8,2.44,,,,
538.3149852,281177.1,0.32,538.3150385,0.099148258,2.5,C25 H49 O9 N P
538.5114854,2122978.3,2.4,,,,
539.3100863,429942.2,0.49,539.3099764,0.203859001,7,C28 H45 O9 N
539.5147866,727163.6,0.82,,,,
540.3305876,511167.4,0.58,540.3306886,0.186976959,1.5,C25 H51 O9 N P
540.5181878,977737.9,1.11,,,,
541.3256887,1195633.8,1.35,541.3256265,0.115063519,6,C28 H47 O9 N
541.521589,475788.7,0.54,541.5201301,2.694101462,0.5,C34 H69 O4
542.3202899,600094.8,0.68,542.3193361,1.758883371,14.5,C35 H45 O2 N P
542.3290899,317326,0.36,542.3295431,0.835635899,5,C29 H52 O5 P2
542.5246902,347105.8,0.39,,,,
543.3322911,488550,0.55,543.3327232,0.795226546,9.5,C32 H47 O7
543.3405912,537933.6,0.61,543.3400482,0.999198889,9,C32 H51 O2 N P2
544.2680923,566349.3,0.64,544.2680883,0.007225649,6.5,C26 H43 O9 N P
544.3358923,1188912.9,1.35,544.3349861,1.664820886,13.5,C35 H47 O2 N P
545.3391935,421203.7,0.48,545.3401311,1.719169561,8.5,C32 H50 O5 P
546.2837947,548155.4,0.62,546.2837384,0.103016845,5.5,C26 H45 O9 N P
546.3426947,299729.7,0.34,546.3436223,1.697674988,8.5,C31 H48 O7 N
547.2782959,371117.3,0.42,547.2786763,0.69509074,10,C29 H41 O9 N
549.2941983,199412.5,0.23,549.2943263,0.233142994,9,C29 H43 O9 N
549.5363986,325339.7,0.37,,,,
549.5615986,550444.4,0.62,549.561601,0.00431272,1.5,C37 H73 O2
552.4993021,396358.5,0.45,552.499729,0.772631435,2.5,C34 H66 O4 N
555.2728054,382157.7,0.43,555.2728394,0.061136697,7.5,C28 H44 O9 P
562.5204141,211670.4,0.24,562.5204644,0.089509255,3.5,C36 H68 O3 N
563.5521153,4812963,5.45,,,,
563.5771153,438142.8,0.5,563.577251,0.240765506,1.5,C38 H75 O2
564.2612161,388998.5,0.44,564.2602866,1.647460456,14.5,C32 H38 O8 N
564.5362165,746419.1,0.84,564.5361145,0.180667025,2.5,C36 H70 O3 N
564.5554165,1918171.6,2.17,,,,
565.5392177,250239.2,0.28,,,,
567.3414198,412082.9,0.47,567.3412765,0.252588512,7,C30 H49 O9 N
569.3567222,695501.6,0.79,569.3569266,0.358918763,6,C30 H51 O9 N
570.3516234,481382.6,0.54,570.3506362,1.730930199,14.5,C37 H49 O2 N P
570.4658236,178535.2,0.2,570.4656659,0.276301331,2.5,C33 H65 O4 N P
