SPECTRUM - MS,,,,,,
20230108_control1_Recal.raw,,,,,,
FTMS - p ESI Full ms [450.00-950.00],,,,,,
Scan #: 162-181,,,,,,
RT: 4.33-4.84,,,,,,
AV: 20,,do not copy this header--only copy rows 8-1008,,,,
,,,,,,
m/z,Intensity,Relative,Theo. Mass,Delta (mmu),RDB equiv.,Composition
451.4518,1273930.6,1.44,,,,
452.2781,1980311.6,2.24,452.2783,-0.14,1.5,C21 H43 O7 N P 
452.4552,331663.1,0.38,,,,
453.2725,206448.1,0.23,453.2816,-9.11,1.5,C20 [13]C H43 O7 N P 
453.2814,371651.3,0.42,453.2816,-0.24,1.5,C20 [13]C H43 O7 N P 
453.3009,321107.3,0.36,453.2861,14.8,1,C21 H44 O7 N P 
454.2573,539973.3,0.61,454.2575,-0.18,1.5,C20 H41 O8 N P 
455.2881,319608.8,0.36,455.2973,-9.13,0.5,C20 [13]C H45 O7 N P 
460.2704,243063.4,0.28,,,,
462.2989,2722193.5,3.08,462.2626,36.28,3.5,C22 H41 O7 N P 
463.3023,779246.6,0.88,463.2704,31.88,3,C22 H42 O7 N P 
464.3146,2836529,3.21,464.2783,36.34,2.5,C22 H43 O7 N P 
465.3038,1005465.4,1.14,465.2861,17.73,2,C22 H44 O7 N P 
465.3091,396067.5,0.45,465.2861,22.96,2,C22 H44 O7 N P 
465.3179,686591.9,0.78,465.2861,31.83,2,C22 H44 O7 N P 
465.4677,466549.7,0.53,,,,
466.2938,356020.3,0.4,466.2939,-0.11,1.5,C22 H45 O7 N P 
466.3073,360612.4,0.41,466.2939,13.39,1.5,C22 H45 O7 N P 
467.3247,411445.9,0.47,467.3017,22.93,1,C22 H46 O7 N P 
469.2344,503329.5,0.57,469.2765,-42.14,1.5,C20 [13]C H43 O8 N P 
473.2781,363292.4,0.41,473.2548,23.36,5,C23 H40 O7 N P 
473.2825,29326164,33.19,473.3078,-25.33,-0.5,C20 [13]C H47 O8 N P 
474.2858,8817732,9.98,474.2626,23.22,4.5,C23 H41 O7 N P 
474.3622,175608.8,0.2,474.3157,46.55,-1,C20 [13]C H48 O8 N P 
475.2701,1079645.4,1.22,475.2704,-0.36,4,C23 H42 O7 N P 
475.2891,936602.6,1.06,475.2704,18.66,4,C23 H42 O7 N P 
476.2736,188155.7,0.21,476.2738,-0.21,4,C22 [13]C H42 O7 N P 
478.2939,1287208,1.46,478.2939,-0.04,2.5,C23 H45 O7 N P 
479.2972,331268.8,0.37,479.2973,-0.1,2.5,C22 [13]C H45 O7 N P 
479.4832,921906.4,1.04,,,,
480.3004,308133.8,0.35,480.3006,-0.2,2.5,C21 [13]C2 H45 O7 N P 
480.3095,3046691,3.45,480.3096,-0.06,1.5,C23 H47 O7 N P 
480.4867,298823.3,0.34,,,,
481.3039,1429161.1,1.62,481.304,-0.1,2.5,C20 [13]C3 H45 O7 N P 
481.3128,901558,1.02,481.3129,-0.12,1.5,C22 [13]C H47 O7 N P 
481.3299,749444.4,0.85,481.3174,12.52,1,C23 H48 O7 N P 
482.3072,472438.5,0.53,482.3118,-4.58,2,C20 [13]C3 H46 O7 N P 
482.3162,901805.7,1.02,482.3163,-0.11,1.5,C21 [13]C2 H47 O7 N P 
482.3333,250369.2,0.28,482.3252,8.08,0.5,C23 H49 O7 N P 
483.3108,455706.3,0.52,483.3196,-8.83,1.5,C20 [13]C3 H47 O7 N P 
483.3195,2602296.3,2.94,483.3196,-0.11,1.5,C20 [13]C3 H47 O7 N P 
484.3229,967590.9,1.09,484.3275,-4.56,1,C20 [13]C3 H48 O7 N P 
485.3263,872837.3,0.99,485.3353,-8.97,0.5,C20 [13]C3 H49 O7 N P 
487.333,361844.3,0.41,487.328,5.02,-1,C22 H50 O8 N P 
488.1217,220426,0.25,,,,
489.2773,419559.1,0.47,489.2771,0.18,5,C22 [13]C2 H42 O7 N P 
491.4832,213696.1,0.24,,,,
492.3096,434380.4,0.49,492.3096,0.02,2.5,C24 H47 O7 N P 
493.4989,1740607,1.97,,,,
494.3251,293783.7,0.33,494.3252,-0.07,1.5,C24 H49 O7 N P 
494.5021,471225.4,0.53,,,,
498.2624,396848,0.45,498.2626,-0.23,6.5,C25 H41 O7 N P 
500.2781,2783701.3,3.15,500.2783,-0.12,5.5,C25 H43 O7 N P 
501.2815,709103.5,0.8,501.2816,-0.12,5.5,C24 [13]C H43 O7 N P 
502.2706,234790.1,0.27,502.2716,-0.94,7,C20 [13]C5 H40 O7 N P 
502.2851,278935.7,0.32,502.285,0.12,5.5,C23 [13]C2 H43 O7 N P 
502.2938,530212,0.6,502.2939,-0.09,4.5,C25 H45 O7 N P 
503.2884,1307612.5,1.48,503.2883,0.06,5.5,C22 [13]C3 H43 O7 N P 
504.2918,287741.3,0.33,504.2917,0.15,5.5,C21 [13]C4 H43 O7 N P 
506.3252,756237.2,0.86,506.3252,-0.03,2.5,C25 H49 O7 N P 
507.4896,403392.8,0.46,,,,
507.5146,634800.4,0.72,,,,
508.3408,864520.8,0.98,508.3409,-0.07,1.5,C25 H51 O7 N P 
509.2885,810610,0.92,509.2944,-5.89,4,C20 [13]C4 H44 O8 N P 
509.3353,943853.6,1.07,509.3353,0.01,2.5,C22 [13]C3 H49 O7 N P 
510.2918,190587.2,0.22,510.3022,-10.42,3.5,C20 [13]C4 H45 O8 N P 
511.3509,435614.2,0.49,511.3509,-0.05,1.5,C22 [13]C3 H51 O7 N P 
512.2991,1355419.8,1.53,512.3179,-18.77,2.5,C20 [13]C4 H47 O8 N P 
513.2946,2106584,2.38,513.2861,8.54,6,C26 H44 O7 N P 
513.3027,268770.8,0.3,513.2861,16.65,6,C26 H44 O7 N P 
514.2981,251926.7,0.29,514.2939,4.24,5.5,C26 H45 O7 N P 
515.3088,292490.5,0.33,515.3017,7.1,5,C26 H46 O7 N P 
515.3377,576796.9,0.65,515.3414,-3.71,1,C20 [13]C4 H50 O8 N P 
520.2681,222547.4,0.25,520.2821,-14.05,6,C20 [13]C5 H42 O8 N P 
521.5302,744305.9,0.84,,,,
522.2837,1441667.6,1.63,522.2978,-14.12,5,C20 [13]C5 H44 O8 N P 
523.287,398225.1,0.45,523.2704,16.54,8,C27 H42 O7 N P 
524.2782,704822.8,0.8,524.2783,-0.02,7.5,C27 H43 O7 N P 
524.2994,3463241.5,3.92,524.3134,-14.05,4,C20 [13]C5 H46 O8 N P 
524.3356,211543,0.24,524.3358,-0.2,1.5,C25 H51 O8 N P 
525.2937,694675.8,0.79,525.2861,7.66,7,C27 H44 O7 N P 
525.3027,1052366.9,1.19,525.2861,16.62,7,C27 H44 O7 N P 
525.3306,205730.8,0.23,525.3302,0.44,2.5,C22 [13]C3 H49 O8 N P 
526.2938,641141.9,0.73,526.2939,-0.12,6.5,C27 H45 O7 N P 
526.3062,730083.9,0.83,526.2939,12.27,6.5,C27 H45 O7 N P 
527.2884,692304.5,0.78,527.2883,0.07,7.5,C24 [13]C3 H43 O7 N P 
527.3094,2064026.8,2.34,527.3017,7.66,6,C27 H46 O7 N P 
528.2731,234444.4,0.27,528.2732,-0.06,6.5,C26 H43 O8 N P 
528.3095,705593.9,0.8,528.3096,-0.07,5.5,C27 H47 O7 N P 
528.3126,565727.5,0.64,528.3096,3.02,5.5,C27 H47 O7 N P 
529.304,211945,0.24,529.304,0.07,6.5,C24 [13]C3 H45 O7 N P 
529.3164,660635.4,0.75,529.3174,-1.01,5,C27 H48 O7 N P 
530.3197,361498.1,0.41,530.3207,-1.08,5,C26 [13]C H48 O7 N P 
531.2136,1046153.4,1.18,531.2698,-56.2,8,C20 [13]C6 H40 O8 N P 
531.3196,544053.5,0.62,531.3196,-0.01,5.5,C24 [13]C3 H47 O7 N P 
532.217,226052.6,0.26,532.2777,-60.65,7.5,C20 [13]C6 H41 O8 N P 
534.4892,868456,0.98,534.3917,97.47,-1,C20 [13]C5 H56 O8 N P 
535.4922,262859.6,0.3,535.3643,127.9,2,C27 H54 O7 N P 
535.5207,2885465.3,3.27,,,,
535.5458,1320664.6,1.49,,,,
536.4959,314631.4,0.36,536.3722,123.76,1.5,C27 H55 O7 N P 
536.5048,5851390.5,6.62,536.3722,132.63,1.5,C27 H55 O7 N P 
536.524,989674.7,1.12,,,,
536.5493,502620.7,0.57,,,,
537.4885,255167.5,0.29,537.38,108.48,1,C27 H56 O7 N P 
537.5081,2155841.8,2.44,537.38,128.07,1,C27 H56 O7 N P 
538.315,281177.1,0.32,538.3246,-9.62,4.5,C20 [13]C6 H47 O8 N P 
538.5115,2122978.3,2.4,538.3878,123.64,0.5,C27 H57 O7 N P 
539.3101,429942.2,0.49,539.3017,8.41,7,C28 H46 O7 N P 
539.5148,727163.6,0.82,539.3956,119.15,0,C27 H58 O7 N P 
540.3306,511167.4,0.58,540.3403,-9.69,3.5,C20 [13]C6 H49 O8 N P 
540.5182,977737.9,1.11,540.4035,114.72,-0.5,C27 H59 O7 N P 
541.3257,1195633.8,1.35,541.3174,8.29,6,C28 H48 O7 N P 
541.5216,475788.7,0.54,541.4113,110.27,-1,C27 H60 O7 N P 
542.3203,600094.8,0.68,542.3207,-0.45,6,C27 [13]C H48 O7 N P 
542.3291,317326,0.36,542.3252,3.84,5.5,C28 H49 O7 N P 
542.5247,347105.8,0.39,542.4146,110.11,-1,C26 [13]C H60 O7 N P 
543.3323,488550,0.55,543.333,-0.73,5,C28 H50 O7 N P 
543.3406,537933.6,0.61,543.333,7.56,5,C28 H50 O7 N P 
544.2681,566349.3,0.64,544.2732,-5.12,9,C20 [13]C7 H40 O8 N P 
544.3359,1188912.9,1.35,544.3364,-0.49,5,C27 [13]C H50 O7 N P 
545.3392,421203.7,0.48,545.3397,-0.54,5,C26 [13]C2 H50 O7 N P 
546.2838,548155.4,0.62,546.2888,-5.04,8,C20 [13]C7 H42 O8 N P 
546.3427,299729.7,0.34,546.3431,-0.45,5,C25 [13]C3 H50 O7 N P 
547.2783,371117.3,0.42,547.2704,7.81,10,C29 H42 O7 N P 
549.2942,199412.5,0.23,549.2861,8.15,9,C29 H44 O7 N P 
549.5364,325339.7,0.37,549.4107,125.72,-1,C20 [13]C6 H58 O8 N P 
549.5616,550444.4,0.62,,,,
552.4993,396358.5,0.45,552.4035,95.88,0.5,C28 H59 O7 N P 
555.2728,382157.7,0.43,555.2743,-1.49,9.5,C23 [13]C5 H41 O8 N P 
562.5204,211670.4,0.24,562.4504,70.02,-1,C21 [13]C7 H62 O7 N P 
563.5521,4812963,5.45,563.4538,98.29,-1,C20 [13]C8 H62 O7 N P 
563.5771,438142.8,0.5,563.4538,123.33,-1,C20 [13]C8 H62 O7 N P 
564.2612,388998.5,0.44,564.2598,1.44,11,C26 [13]C3 H40 O8 N P 
564.5362,746419.1,0.84,564.4297,106.48,-1,C20 [13]C7 H60 O8 N P 
564.5554,1918171.6,2.17,564.4297,125.71,-1,C20 [13]C7 H60 O8 N P 
565.5392,250239.2,0.28,565.4113,127.93,1,C29 H60 O7 N P 
567.3414,412082.9,0.47,567.333,8.39,7,C30 H50 O7 N P 
569.3567,695501.6,0.79,569.3487,8.06,6,C30 H52 O7 N P 
570.3516,481382.6,0.54,570.352,-0.49,6,C29 [13]C H52 O7 N P 
570.4658,178535.2,0.2,570.4459,19.85,-1,C28 [13]C H64 O7 N P 
571.4974,763319.6,0.86,571.4493,48.15,-1,C27 [13]C2 H64 O7 N P 
572.3673,290456.8,0.33,572.3677,-0.43,5,C29 [13]C H54 O7 N P 
572.4815,1658223.9,1.88,572.4527,28.86,-1,C26 [13]C3 H64 O7 N P 
573.4848,578198.7,0.65,573.456,28.77,-1,C25 [13]C4 H64 O7 N P 
574.4787,452455.3,0.51,574.4594,19.3,-1,C24 [13]C5 H64 O7 N P 
574.488,437794.6,0.5,574.4594,28.67,-1,C24 [13]C5 H64 O7 N P 
577.5929,630850.4,0.71,577.4694,123.44,-1,C21 [13]C8 H64 O7 N P 
583.5057,261497.6,0.3,583.4582,47.42,-1,C30 H66 O7 N P 
589.2919,830082.3,0.94,589.2906,1.34,13,C26 [13]C6 H42 O7 N P 
589.3259,276122.2,0.31,589.3302,-4.26,9,C20 [13]C10 H46 O8 N P 
590.2952,255064.1,0.29,590.2939,1.32,13,C25 [13]C7 H42 O7 N P 
591.403,715223.3,0.81,591.4046,-1.55,4.5,C26 [13]C5 H57 O7 N P 
591.5833,3534839,4,591.4851,98.25,-1,C22 [13]C8 H66 O7 N P 
591.6085,186157.8,0.21,591.4851,123.45,-1,C22 [13]C8 H66 O7 N P 
592.336,317905.4,0.36,592.3364,-0.44,9,C31 [13]C H50 O7 N P 
592.5675,201435.1,0.23,592.4884,79.02,-1,C21 [13]C9 H66 O7 N P 
592.5867,1399661.1,1.58,592.4884,98.22,-1,C21 [13]C9 H66 O7 N P 
597.3046,386367.9,0.44,597.3034,1.22,11.5,C22 [13]C9 H43 O8 N P 
599.3201,1459356.8,1.65,599.319,1.12,10.5,C22 [13]C9 H45 O8 N P 
599.4759,411680.8,0.47,599.4761,-0.21,-0.5,C28 [13]C3 H67 O7 N P 
